"fuel_type";"sale_minute";"number_of_sales";"litres_sold"
"UNLEADED";"2026-09-12 10:00";"3";"1.2900000214576721"
"UNLEADED";"2026-09-12 10:01";"3";"2.830000013113022"
"VPOWER";"2026-09-12 10:01";"2";"4.360000014305115"
"VPOWER";"2026-09-12 10:02";"1";"1.2200000286102295"
"UNLEADED";"2026-09-12 10:03";"3";"6.070000052452087"
"VPOWER";"2026-09-12 10:03";"1";"0.4300000071525574"
"UNLEADED";"2026-09-12 10:04";"2";"1.3900000154972076"
"UNLEADED";"2026-09-12 10:05";"4";"18.159999549388885"
"UNLEADED";"2026-09-12 10:06";"2";"1.3900000154972076"
"VPOWER";"2026-09-12 10:06";"1";"1.7400000095367432"
"DIESEL";"2026-09-12 10:07";"1";"31.950000762939453"
"UNLEADED";"2026-09-12 10:07";"3";"8.17000025510788"
"UNLEADED";"2026-09-12 10:08";"3";"22.630000233650208"
"VPOWER";"2026-09-12 10:08";"1";"1.309999942779541"
"UNLEADED";"2026-09-12 10:09";"1";"0.3199999928474426"
"VPOWER";"2026-09-12 10:09";"2";"1.0799999833106995"
"UNLEADED";"2026-09-12 10:10";"4";"12.600000411272049"
"UNLEADED";"2026-09-12 10:11";"1";"1.159999966621399"
"VPOWER";"2026-09-12 10:11";"1";"0.4300000071525574"
"UNLEADED";"2026-09-12 10:12";"2";"0.9200000166893005"
"VPOWER";"2026-09-12 10:12";"3";"3.2699999809265137"
"DIESEL";"2026-09-12 10:13";"1";"300"
"UNLEADED";"2026-09-12 10:13";"2";"2.040000021457672"
"DIESEL";"2026-09-12 10:14";"1";"45.63999938964844"
"UNLEADED";"2026-09-12 10:14";"1";"1.3899999856948853"
"UNLEADED";"2026-09-12 10:15";"5";"6.279999867081642"
"VPOWER";"2026-09-12 10:16";"1";"2.180000066757202"
"DIESEL";"2026-09-12 10:17";"1";"20"
"UNLEADED";"2026-09-12 10:17";"1";"0.699999988079071"
"UNLEADED";"2026-09-12 10:18";"1";"0.23000000417232513"
"VPOWER";"2026-09-12 10:18";"1";"0.20999999344348907"
"UNLEADED";"2026-09-12 10:19";"1";"0.46000000834465027"
"UNLEADED";"2026-09-12 10:20";"2";"5.35999983549118"
"VPOWER";"2026-09-12 10:21";"1";"2.180000066757202"
"UNLEADED";"2026-09-12 10:22";"2";"5.910000145435333"
"VPOWER";"2026-09-12 10:22";"1";"0.17000000178813934"
"UNLEADED";"2026-09-12 10:23";"2";"9.549999698996544"
"UNLEADED";"2026-09-12 10:24";"2";"2.790000021457672"
"UNLEADED";"2026-09-12 10:25";"1";"1.8600000143051147"
"VPOWER";"2026-09-12 10:25";"1";"0.8700000047683716"
"VPOWER";"2026-09-12 10:26";"1";"0.20999999344348907"
"DIESEL";"2026-09-12 10:27";"1";"4.559999942779541"
"VPOWER";"2026-09-12 10:27";"1";"0.4300000071525574"
"DIESEL";"2026-09-12 10:28";"1";"9.119999885559082"
"UNLEADED";"2026-09-12 10:28";"3";"5.57999986410141"
"UNLEADED";"2026-09-12 10:29";"1";"0.23000000417232513"
"UNLEADED";"2026-09-12 10:30";"2";"0.9200000166893005"
"VPOWER";"2026-09-12 10:30";"1";"0.8700000047683716"
"UNLEADED";"2026-09-12 10:31";"1";"0.9300000071525574"
"VPOWER";"2026-09-12 10:32";"1";"1.440000057220459"
"VPOWER";"2026-09-12 10:33";"1";"4.360000133514404"
"UNLEADED";"2026-09-12 10:34";"1";"3.0299999713897705"
"UNLEADED";"2026-09-12 10:35";"2";"4.89000004529953"
"UNLEADED";"2026-09-12 10:36";"1";"0.9300000071525574"
"VPOWER";"2026-09-12 10:36";"1";"0.6499999761581421"
"UNLEADED";"2026-09-12 10:37";"2";"13.979999542236328"
"DIESEL";"2026-09-12 10:38";"1";"4.610000133514404"
"VPOWER";"2026-09-12 10:38";"4";"2.5199999511241913"
"VPOWER";"2026-09-12 10:39";"2";"5.450000166893005"
"VPOWER";"2026-09-12 10:40";"1";"0.9599999785423279"
"UNLEADED";"2026-09-12 10:42";"4";"105.12999993562698"
"UNLEADED";"2026-09-12 10:43";"1";"0.699999988079071"
"UNLEADED";"2026-09-12 10:45";"2";"5.130000084638596"
"VPOWER";"2026-09-12 10:45";"1";"2.8299999237060547"
"UNLEADED";"2026-09-12 10:46";"1";"1.399999976158142"
"VPOWER";"2026-09-12 10:46";"1";"0.6499999761581421"
"UNLEADED";"2026-09-12 10:47";"1";"1.8700000047683716"
"VPOWER";"2026-09-12 10:47";"1";"1.7400000095367432"
"UNLEADED";"2026-09-12 10:48";"3";"1.3900000005960464"
"UNLEADED";"2026-09-12 10:49";"1";"1"
"VPOWER";"2026-09-12 10:50";"1";"1.309999942779541"
"UNLEADED";"2026-09-12 10:51";"1";"2.7899999618530273"
"UNLEADED";"2026-09-12 10:52";"2";"3.8700000941753387"
"VPOWER";"2026-09-12 10:52";"2";"2.8299999237060547"
"UNLEADED";"2026-09-12 10:53";"1";"4.670000076293945"
"VPOWER";"2026-09-12 10:53";"1";"2.180000066757202"
"UNLEADED";"2026-09-12 10:54";"1";"1.3899999856948853"
"VPOWER";"2026-09-12 10:54";"2";"1.8700000047683716"
"UNLEADED";"2026-09-12 10:56";"2";"4.049999952316284"
"DIESEL";"2026-09-12 10:58";"1";"6.840000152587891"
"VPOWER";"2026-09-12 10:58";"1";"0.9100000262260437"
"UNLEADED";"2026-09-12 10:59";"1";"0.46000000834465027"
"VPOWER";"2026-09-12 10:59";"1";"1.309999942779541"
"UNLEADED";"2026-09-12 11:00";"1";"0.46000000834465027"
"VPOWER";"2026-09-12 11:00";"1";"0.5199999809265137"
"UNLEADED";"2026-09-12 11:01";"2";"0.9200000166893005"
"VPOWER";"2026-09-12 11:01";"3";"2.1700000166893005"
"UNLEADED";"2026-09-12 11:02";"3";"1.7100000083446503"
"UNLEADED";"2026-09-12 11:03";"2";"10.050000369548798"
"VPOWER";"2026-09-12 11:04";"1";"2.180000066757202"
"VPOWER";"2026-09-12 11:06";"1";"1.309999942779541"
"UNLEADED";"2026-09-12 11:07";"1";"0.3700000047683716"
"VPOWER";"2026-09-12 11:07";"1";"1.309999942779541"
"UNLEADED";"2026-09-12 11:08";"2";"1.3400000035762787"
"UNLEADED";"2026-09-12 11:10";"4";"5.819999888539314"
"UNLEADED";"2026-09-12 11:11";"3";"5.5500000566244125"
"UNLEADED";"2026-09-12 11:12";"1";"0.46000000834465027"
"UNLEADED";"2026-09-12 11:13";"1";"0.23000000417232513"
"UNLEADED";"2026-09-12 11:14";"2";"1.3900000154972076"
"UNLEADED";"2026-09-12 11:15";"3";"5.7300001084804535"
"VPOWER";"2026-09-12 11:15";"1";"4"
"UNLEADED";"2026-09-12 11:17";"4";"5.42999991774559"
"VPOWER";"2026-09-12 11:17";"1";"0.8700000047683716"
"UNLEADED";"2026-09-12 11:18";"2";"1.2300000041723251"
"VPOWER";"2026-09-12 11:18";"2";"1.7400000095367432"
"UNLEADED";"2026-09-12 11:19";"2";"3.719999998807907"
"VPOWER";"2026-09-12 11:19";"1";"2.180000066757202"
"DIESEL";"2026-09-12 11:21";"1";"7.300000190734863"
"UNLEADED";"2026-09-12 11:21";"2";"1.1599999964237213"
"VPOWER";"2026-09-12 11:21";"1";"0.8700000047683716"
"UNLEADED";"2026-09-12 11:22";"1";"0.46000000834465027"
"UNLEADED";"2026-09-12 11:23";"1";"4.659999847412109"
"UNLEADED";"2026-09-12 11:25";"2";"2.6499999165534973"
"UNLEADED";"2026-09-12 11:26";"2";"7.3800002336502075"
"VPOWER";"2026-09-12 11:26";"1";"0.4300000071525574"
"UNLEADED";"2026-09-12 11:27";"1";"1.0199999809265137"
"UNLEADED";"2026-09-12 11:28";"1";"4.659999847412109"
"UNLEADED";"2026-09-12 11:29";"3";"11.879999607801437"
"UNLEADED";"2026-09-12 11:30";"1";"2.3399999141693115"
"VPOWER";"2026-09-12 11:30";"1";"1.309999942779541"
"UNLEADED";"2026-09-12 11:32";"3";"2.9300000071525574"
